"Time (s)","Illuminance (lx)"
2.409798649E2,2.590000000E2
2.411598429E2,2.600000000E2
2.418798310E2,2.570000000E2
2.420598190E2,2.560000000E2
2.422397940E2,2.570000000E2
2.429597050E2,2.560000000E2
2.434996420E2,2.570000000E2
2.436796180E2,2.580000000E2
2.442195620E2,2.590000000E2
2.443995380E2,2.580000000E2
2.447594930E2,2.570000000E2
2.451194530E2,2.580000000E2
2.454794180E2,2.570000000E2
2.458393720E2,2.550000000E2
2.465592850E2,2.540000000E2
2.467392620E2,2.530000000E2
2.469192400E2,2.540000000E2
2.472791950E2,2.570000000E2
2.474591810E2,2.630000000E2
2.476391590E2,2.660000000E2
2.478191360E2,2.670000000E2
2.483590690E2,2.660000000E2
2.490789820E2,2.670000000E2
2.494390062E2,2.660000000E2
2.496189932E2,2.670000000E2
2.503389032E2,2.680000000E2
2.506988672E2,2.670000000E2
2.508788452E2,2.660000000E2
2.512388002E2,2.650000000E2
2.517787352E2,2.640000000E2
2.519587112E2,2.630000000E2
2.521386902E2,2.620000000E2
2.523186570E2,2.600000000E2
2.532185550E2,2.590000000E2
2.535785090E2,2.610000000E2
2.537584860E2,2.600000000E2
2.557382530E2,2.590000000E2
2.562781930E2,2.580000000E2
2.564582627E2,2.590000000E2
2.566382407E2,2.580000000E2
2.568182177E2,2.590000000E2
2.587979827E2,2.610000000E2
2.589779597E2,2.590000000E2
2.596978453E2,2.580000000E2
2.609576983E2,2.590000000E2
2.611376753E2,2.580000000E2
2.616776153E2,2.540000000E2
2.618575943E2,2.590000000E2
2.623975253E2,2.580000000E2
2.625775073E2,2.600000000E2
2.627574833E2,2.640000000E2
2.629374623E2,2.670000000E2
2.632974173E2,2.650000000E2
2.634773973E2,2.620000000E2
2.636573813E2,2.630000000E2
2.638374364E2,2.590000000E2
2.640174164E2,2.580000000E2
2.641973914E2,2.640000000E2
2.643773704E2,2.590000000E2
2.645573474E2,2.560000000E2
2.647373284E2,2.520000000E2
2.649173044E2,2.460000000E2
2.650972834E2,2.450000000E2
2.652772594E2,2.440000000E2
2.654572384E2,2.480000000E2
2.658172014E2,2.510000000E2
2.659971794E2,2.540000000E2
2.661771564E2,2.550000000E2
2.663571344E2,2.560000000E2
2.667170934E2,2.550000000E2
2.668970937E2,2.560000000E2
2.670770717E2,2.580000000E2
2.672570487E2,2.670000000E2
2.674370267E2,2.700000000E2
2.676170037E2,2.710000000E2
